vertebrate_sp_paper	vertebrate_sp_current	vertebrate_genus_current	vertebrate_family_current	body_size	diet	vertebrate
Quiscalus_mexicanus	Quiscalus_mexicanus	Quiscalus	Icteridae	9.073824617	Omnivore	Bird
Dumetella_carolinensis	Dumetella_carolinensis	Dumetella	Mimidae	4.700997428	Insectivore	Bird
Mimus_gilvus	Mimus_gilvus	Mimus	Mimidae	5.561788988	Insectivore	Bird
Mimus_saturninus	Mimus_saturninus	Mimus	Mimidae	6.07474147	Insectivore	Bird
Orthogonys_chloricterus	Orthogonys_chloricterus	Orthogonys	Mitrospingidae	4.963246143	Insectivore	Bird
Baryphtengus_martii	Baryphthengus_martii	Baryphthengus	Momotidae	9.184677285	Frugivore	Bird
Baryphtengus_ruficapillus	Baryphthengus_ruficapillus	Baryphthengus	Momotidae	8.595308911	Insectivore	Bird
Baryphthengus_ruficapillus	Baryphthengus_ruficapillus	Baryphthengus	Momotidae	8.595308911	Insectivore	Bird
Eumomota_superciliosa	Eumomota_superciliosa	Eumomota	Momotidae	6.024774293	Insectivore	Bird
Momotus_mexicanus	Momotus_mexicanus	Momotus	Momotidae	6.547582385	Insectivore	Bird
Momotus_momota	Momotus_momota	Momotus	Momotidae	7.850260806	Insectivore	Bird
Centurus_hoffmannii	Centurus_hoffmannii	Centurus	NA	NA	NA	Bird
Loxigilla_violacea	Melopyrrha_violacea	Melopyrrha	NA	NA	NA	Bird
Vermivora_peregrina	Oreothlypis_peregrina	Oreothlypis	NA	NA	NA	Bird
Piaractus_mesopotamicus	Piaractus_mesopotamicus	Piaractus	NA	NA	NA	Bird
Ramphastos_sp	Ramphastos	Ramphastos	NA	NA	NA	Bird
Basileuterus_culicivorus	Basileuterus_culicivorus	Basileuterus	Parulidae	2.776494884	Insectivore	Bird
Griseotyrannus_aurantioatrocristatus	Geothlypis_aequinoctialis	Geothlypis	Parulidae	3.056502523	Insectivore	Bird
Myiothlypis_leucophrys	Myiothlypis_leucophrys	Myiothlypis	Parulidae	NA	NA	Bird
Protonotaria_citrea	Protonotaria_citrea	Protonotaria	Parulidae	3.175090186	Insectivore	Bird
Seiurus_aurocapilla	Seiurus_aurocapilla	Seiurus	Parulidae	3.575688872	Insectivore	Bird
Setophaga_castanea	Setophaga_castanea	Setophaga	Parulidae	NA	NA	Bird
Dendroica_pensylvanica	Setophaga_pensylvanica	Setophaga	Parulidae	NA	NA	Bird
Dendroica_petechia	Setophaga_petechia	Setophaga	Parulidae	NA	NA	Bird
Parula_pitiayumi	Setophaga_pitiayumi	Setophaga	Parulidae	NA	NA	Bird
Setophaga_pitiayumi	Setophaga_pitiayumi	Setophaga	Parulidae	NA	NA	Bird
Setophaga_striata	Setophaga_striata	Setophaga	Parulidae	NA	NA	Bird
Arremon_tacitumus	Arremon_axillaris	Arremon	Passerellidae	NA	NA	Bird
Arremon_flavirostris	Arremon_flavirostris	Arremon	Passerellidae	4.125302746	Omnivore	Bird
Atlapetes_citrinellus	Atlapetes_citrinellus	Atlapetes	Passerellidae	4.251016076	Omnivore	Bird
Chlorospingus_ophthalmicus	Chlorospingus_flavopectus	Chlorospingus	Passerellidae	NA	NA	Bird
Zonotrichia_capensis	Zonotrichia_capensis	Zonotrichia	Passerellidae	3.697696	Omnivore	Bird
Passer_domesticus	Passer_domesticus	Passer	Passeridae	4.151250973	Granivore	Bird
Campephilus_guatemalensis	Campephilus_guatemalensis	Campephilus	Picidae	10.84620627	Insectivore	Bird
Phloeoceastes_guatemalensis	Campephilus_guatemalensis	Campephilus	Picidae	10.84620627	Insectivore	Bird
Celeus_castaneus	Celeus_castaneus	Celeus	Picidae	6.906223945	Insectivore	Bird
Celeus_elegans	Celeus_elegans	Celeus	Picidae	8.416863459	Insectivore	Bird
Celeus_flavescens	Celeus_flavescens	Celeus	Picidae	8.525100398	Insectivore	Bird
Celeus_gramnicus	Celeus_undatus	Celeus	Picidae	6.107757686	Insectivore	Bird
Colaptes_campestris	Colaptes_campestris	Colaptes	Picidae	9.012901826	Insectivore	Bird
Colaptes_melanochloros	Colaptes_melanochloros	Colaptes	Picidae	8.204854932	Insectivore	Bird
Colaptes_pitius	Colaptes_pitius	Colaptes	Picidae	9.037631375	Insectivore	Bird
Dryocopus_lineatus	Hylatomus_fuscipennis	Hylatomus	Picidae	NA	NA	Bird
Melanerpes_aurifrons	Melanerpes_aurifrons	Melanerpes	Picidae	6.734543875	Omnivore	Bird
Melanerpes_candidus	Melanerpes_candidus	Melanerpes	Picidae	7.640199803	Frugivore	Bird
Melanerpes_chrysogenys	Melanerpes_chrysogenys	Melanerpes	Picidae	6.23835764	Insectivore	Bird
Melanerpes_cruentatus	Melanerpes_cruentatus	Melanerpes	Picidae	5.836761656	Insectivore	Bird
Melanerpes_flavifrons	Melanerpes_flavifrons	Melanerpes	Picidae	5.822778411	Omnivore	Bird
Melanerpes_hoffmannii	Melanerpes_hoffmannii	Melanerpes	Picidae	6.412803411	Insectivore	Bird
Melanerpes_pucherani	Melanerpes_pucherani	Melanerpes	Picidae	6.020585959	Insectivore	Bird
Piculus_radiolatus	Melanerpes_radiolatus	Melanerpes	Picidae	7.640199803	Frugivore	Bird
Melanerpes_rubricapillus	Melanerpes_rubricapillus	Melanerpes	Picidae	5.577556264	Insectivore	Bird
Piculus_aurelentus	Piculus_aurulentus	Piculus	Picidae	6.520840991	Insectivore	Bird
Picumnus_cirratus	Picumnus_cirratus	Picumnus	Picidae	2.741760335	Insectivore	Bird
Picumus_nebulosus	Picumnus_nebulosus	Picumnus	Picidae	2.899267123	Insectivore	Bird
Veniliornis_passerinus	Veniliornis_passerinus	Veniliornis	Picidae	4.510937629	Insectivore	Bird
Veniliornis_spilogaster	Veniliornisilogaster	Veniliornisilogaster	Picidae	NA	NA	Bird
Antilophia_galeata	Antilophia_galeata	Antilophia	Pipridae	3.788742906	Frugivore	Bird
Ceratopipra_chloromeros	Ceratopipra_chloromeros	Ceratopipra	Pipridae	NA	NA	Bird
Ceratopipra_mentalis	Ceratopipra_mentalis	Ceratopipra	Pipridae	NA	NA	Bird
Ceratopipra_rubrocapilla	Ceratopipra_rubrocapilla	Ceratopipra	Pipridae	NA	NA	Bird
Chiroxiphia_boliviana	Chiroxiphia_boliviana	Chiroxiphia	Pipridae	3.434108518	Frugivore	Bird
Chiroxiphia_caudata	Chiroxiphia_caudata	Chiroxiphia	Pipridae	4.08875272	Omnivore	Bird
Chiroxiphia_linearis	Chiroxiphia_linearis	Chiroxiphia	Pipridae	3.46096164	Frugivore	Bird
Chiroxiphia_pareola	Chiroxiphia_pareola	Chiroxiphia	Pipridae	3.408737837	Frugivore	Bird
Ilicura_militaris	Ilicura_militaris	Ilicura	Pipridae	3.015614793	Frugivore	Bird
Lepidothrix_coronata	Lepidothrix_coronata	Lepidothrix	Pipridae	2.512218057	Frugivore	Bird
Lepidothrix_nattereri	Lepidothrix_nattereri	Lepidothrix	Pipridae	2.518748021	Insectivore	Bird
Machaeropteris_regulus	Machaeropterus_regulus	Machaeropterus	Pipridae	2.638859658	Frugivore	Bird
Manacus_manacus	Manacus_manacus	Manacus	Pipridae	3.39640144	Frugivore	Bird
Manacus_vitellinus	Manacus_vitellinus	Manacus	Pipridae	3.522305842	Frugivore	Bird
Neopelma_pallescens	Neopelma_pallescens	Neopelma	Pipridae	3.525673169	Insectivore	Bird
Pipra_fasciicauda	Pipra_fasciicauda	Pipra	Pipridae	3.32475878	Frugivore	Bird
Dixiphia_pipra	Pseudopipra_pipra	Pseudopipra	Pipridae	NA	NA	Bird
Tyranneutes_stolzmanni	Tyranneutes_stolzmanni	Tyranneutes	Pipridae	2.356865353	Frugivore	Bird
Alipiopsitta_xanthops	Alipiopsitta_xanthops	Alipiopsitta	Psittacidae	12.36708958	Omnivore	Bird
Amazona_sp	Amazona	Amazona	Psittacidae	NA	NA	Bird
Amazona_aestiva	Amazona_aestiva	Amazona	Psittacidae	14.2132772	Frugivore	Bird
Amazona_albifrons	Amazona_albifrons	Amazona	Psittacidae	10.1134601	Granivore	Bird
Amazona_amazonica	Amazona_amazonica	Amazona	Psittacidae	13.0423496	Frugivore	Bird
Amazona_autumnalis	Amazona_autumnalis	Amazona	Psittacidae	13.72327547	Frugivore	Bird
Amazona_farinosa	Amazona_farinosa	Amazona	Psittacidae	16.38829558	Frugivore	Bird
Amazona_ochrocephala	Amazona_ochrocephala	Amazona	Psittacidae	14.5627041	Omnivore	Bird
Ara_hyacinthinus	Anodorhynchus_hyacinthinus	Anodorhynchus	Psittacidae	22.7411954	Frugivore	Bird
Anodorhynchus_leari	Anodorhynchus_leari	Anodorhynchus	Psittacidae	19.55289257	Frugivore	Bird
Ara_leari	Anodorhynchus_leari	Anodorhynchus	Psittacidae	19.55289257	Frugivore	Bird
Ara_ararauna	Ara_ararauna	Ara	Psittacidae	21.13969435	Omnivore	Bird
Ara_chloropterus	Ara_chloropterus	Ara	Psittacidae	21.85038818	Omnivore	Bird
Ara_macao	Ara_macao	Ara	Psittacidae	20.21583164	Omnivore	Bird
Aratinga_weddellii	Aratinga_weddellii	Aratinga	Psittacidae	7.640199803	Frugivore	Bird
Brotogeris_chiriri	Brotogeris_chiriri	Brotogeris	Psittacidae	5.986941687	Frugivore	Bird
Brotogeris_jugularis	Brotogeris_jugularis	Brotogeris	Psittacidae	6.053987089	Omnivore	Bird
Brotogeris_tirica	Brotogeris_tirica	Brotogeris	Psittacidae	6.045659333	Omnivore	Bird
