Plant_sp_paper	Plant_name_accepted	Plant_sp_current	Plant_genus_current	Plant_family_current	life_form	fruit_type	husk	color	color_code	fruit_le_cm	fruit_wd_cm	seed_le_cm	seed_wd_cm	seed_diam_cm	n_seeds
Guatteria_sellowiana	Guatteria_sellowiana	Guatteria_sellowiana	Guatteria	Annonaceae	NA	drupe	NA	NA	NA	1.11	0.58	0.81	0.51	0.51	1
Guatteria_sp	Guatteria	sp	Guatteria	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychopetalum_periquino	Onychopetalum_periquino	Onychopetalum_periquino	Onychopetalum	Annonaceae	NA	NA	NA	NA	NA	2.01	1.37	NA	NA	NA	NA
Onycophetalum_amazonicum	Onychopetalum_amazonicum	Onychopetalum_amazonicum	Onychopetalum	Annonaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxandra_mediocris	Oxandra_mediocris	Oxandra_mediocris	Oxandra	Annonaceae	tree	drupe	P	purple	F	1.45	0.75	NA	0.9	0.9	1
Oxandra_panamensis	Oxandra_panamensis	Oxandra_panamensis	Oxandra	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxandra_sp	Oxandra	sp	Oxandra	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxandra_sphaerocarpa	Oxandra_sphaerocarpa	Oxandra_sphaerocarpa	Oxandra	Annonaceae	NA	drupe	A	black	F	1	0.9	0.9	NA	NA	1
Oxandra_venezuelana	Oxandra_venezuelana	Oxandra_venezuelana	Oxandra	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxandra_xylopioides	Oxandra_xylopioides	Oxandra_xylopioides	Oxandra	Annonaceae	NA	drupe	NA	NA	NA	1.7	1.1	NA	NA	NA	NA
Porcelia_nitidifolia	Porcelia_nitidifolia	Porcelia_nitidifolia	Porcelia	Annonaceae	NA	NA	NA	NA	NA	3.82	2.14	NA	NA	NA	NA
Porcelia_sp	Porcelia	sp	Porcelia	Annonaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudomalmea_diclina	Pseudomalmea_diclina	Pseudomalmea_diclina	Pseudomalmea	Annonaceae	tree	berry	A	red	F	1.5	0.75	NA	NA	NA	1
Rollinea_sericea	Annona_neosericea	Annona_neosericea	Annona	Annonaceae	tree	berry	P	yellow	F	3.4	3.3	0.8	0.5	0.5	50
Rollinia_deliciosa	Annona_mucosa	Annona_mucosa	Annona	Annonaceae	NA	berry	P	yellow	NA	6.3	8.78	1.6	1.3	1.3	50
Rollinia_exsucca	Annona_exsucca	Annona_exsucca	Annona	Annonaceae	NA	berry	P	NA	NA	NA	NA	NA	NA	NA	NA
Rollinia_mucosa	Annona_mucosa	Annona_mucosa	Annona	Annonaceae	NA	berry	P	yellow	NA	6.3	8.78	1.6	1.3	1.3	50
Rollinia_rufinervis	Annona_rufinervis	Annona_rufinervis	Annona	Annonaceae	NA	berry	P	NA	NA	NA	NA	NA	NA	NA	NA
Rollinia_sericea	Annona_neosericea	Annona_neosericea	Annona	Annonaceae	tree	berry	P	yellow	F	3.4	3.3	0.8	0.5	0.5	50
Rollinia_sp	Annona	sp	Annona	Annonaceae	NA	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rollinia_sylvatica	Annona_sylvatica	Annona_sylvatica	Annona	Annonaceae	tree	berry	P	yellow	F	3.72	3.45	1.41	0.74	0.74	40
Ruizodendron_ovale	Ruizodendron_ovale	Ruizodendron_ovale	Ruizodendron	Annonaceae	tree	drupe	A	orange	F	2.75	1.75	NA	1.2	1.2	1
Tetramaeranthus_laomae	Tetrameranthus_laomae	Tetrameranthus_laomae	Tetrameranthus	Annonaceae	NA	drupe	P	red	F	4.9	3	NA	NA	NA	NA
Unonopsis_avisceps	Unonopsis_aviceps	Unonopsis_aviceps	Unonopsis	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unonopsis_floribunda	Unonopsis_floribunda	Unonopsis_floribunda	Unonopsis	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unonopsis_guattereioides	Unonopsis_guatterioides	Unonopsis_guatterioides	Unonopsis	Annonaceae	NA	drupe	P	yellow	F	1.61	1.43	0.82	0.8	0.8	2
Unonopsis_pacifica	Unonopsis_pacifica	Unonopsis_pacifica	Unonopsis	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unonopsis_sp	Unonopsis	sp	Unonopsis	Annonaceae	NA	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unonopsis_stipitata	Unonopsis_stipitata	Unonopsis_stipitata	Unonopsis	Annonaceae	tree	drupe	A	orange	F	2.8	1.5	NA	NA	NA	1
Xylopia_amazonica	Xylopia_amazonica	Xylopia_amazonica	Xylopia	Annonaceae	NA	capsule	P	black_orange	S_C	NA	NA	NA	NA	NA	NA
Xylopia_aromatica	Xylopia_aromatica	Xylopia_aromatica	Xylopia	Annonaceae	tree	capsule	P	black_orange	S_C	1.24	0.57	0.67	0.41	0.41	2
Xylopia_brasiliensis	Xylopia_brasiliensis	Xylopia_brasiliensis	Xylopia	Annonaceae	NA	capsule	P	black_orange	S_C	1.36	0.44	0.67	0.42	0.42	1
Xylopia_calophylla	Xylopia_calophylla	Xylopia_calophylla	Xylopia	Annonaceae	NA	capsule	P	black_orange	S_C	NA	NA	NA	NA	NA	NA
Xylopia_frutescens	Xylopia_frutescens	Xylopia_frutescens	Xylopia	Annonaceae	NA	capsule	P	black_orange	S_C	1.2	0.78	0.6	0.65	0.65	3
Xylopia_langsdorfiana	Xylopia_langsdorfiana	Xylopia_langsdorfiana	Xylopia	Annonaceae	NA	capsule	P	black_orange	S_C	0.93	0.61	0.86	0.61	0.61	1
